0,1,2,3,4,5,6,7,8,9,10,11
State,District,Year,Wheat,Wheat,Wheat,,,,,,
State,District,Year,Rabi,Rabi,Rabi,,,,,,
State,District,Year,Area (Hectare),Production  (Tonnes),Yield  (Tonne/Hectare),,,,,,
1. Punjab,11. Kapurthala,2022 - 2023,108600.00,484300.00,4.46,,,,,,
1. Punjab,12. Ludhiana,1997  - 1998,257000.00,1082000.00,4.21,,,,,,
1. Punjab,12. Ludhiana,1998 - 1999,413000.00,1823000.00,4.41,,,,,,
1. Punjab,12. Ludhiana,1999 - 2000,259000.00,1312000.00,5.07,,,,,,
1. Punjab,12. Ludhiana,2000 - 2001,258000.00,1334000.00,5.17,,,,,,
1. Punjab,12. Ludhiana,2001 - 2002,257000.00,1304000.00,5.07,,,,,,
1. Punjab,12. Ludhiana,2002 - 2003,254000.00,1142000.00,4.5,,,,,,
1. Punjab,12. Ludhiana,2003 - 2004,257000.00,1220000.00,4.75,,,,,,
1. Punjab,12. Ludhiana,2004 - 2005,258000.00,1246000.00,4.83,,,,,,
1. Punjab,12. Ludhiana,2005 - 2006,257000.00,1228000.00,4.78,,,,,,
1. Punjab,12. Ludhiana,2006 - 2007,257000.00,1158000.00,4.51,,,,,,
1. Punjab,12. Ludhiana,2007 - 2008,258000.00,1238000.00,4.8,,,,,,
1. Punjab,12. Ludhiana,2008 - 2009,259000.00,1137000.00,4.39,,,,,,
1. Punjab,12. Ludhiana,2009 - 2010,259000.00,1200000.00,4.63,,,,,,
1. Punjab,12. Ludhiana,2010 - 2011,257000.00,1276000.00,4.96,,,,,,
1. Punjab,12. Ludhiana,2011 - 2012,257000.00,1381000.00,5.37,,,,,,
1. Punjab,12. Ludhiana,2012 - 2013,256000.00,1242000.00,4.85,,,,,,
1. Punjab,12. Ludhiana,2013 - 2014,254000.00,1327000.00,5.22,,,,,,
1. Punjab,12. Ludhiana,2014 - 2015,253000.00,1129000.00,4.46,,,,,,
1. Punjab,12. Ludhiana,2015 - 2016,251000.00,1172000.00,4.67,,,,,,
1. Punjab,12. Ludhiana,2016 - 2017,250000.00,1273000.00,5.09,,,,,,
1. Punjab,12. Ludhiana,2017 - 2018,252000.00,1296000.00,5.14,,,,,,
1. Punjab,12. Ludhiana,2018 - 2019,251000.00,1288000.00,5.13,,,,,,
1. Punjab,12. Ludhiana,2019 - 2020,250000.00,1275000.00,5.1,,,,,,
